temp,ph,do,ammonia,turbidity,salinity
27.23,7.88,4.9,0.015,20.0,18.0
27.34,7.85,4.77,0.015,18.0,18.0
27.35,7.9,4.94,0.015,21.0,18.0
27.32,7.84,4.88,0.015,22.0,18.0
27.33,7.88,4.89,0.015,17.0,18.0
27.26,7.84,4.91,0.015,23.0,18.0
27.31,7.86,4.82,0.015,19.0,18.0
27.3,7.85,4.8,0.015,21.0,18.0
27.34,7.87,4.86,0.015,16.0,18.0
27.28,7.85,4.7,0.015,20.0,18.0
27.28,7.89,4.81,0.015,19.0,18.0
27.28,7.92,4.74,0.015,19.0,18.0
27.22,7.87,4.73,0.015,20.0,18.0
27.25,7.85,4.89,0.015,21.0,17.999
27.31,7.88,4.84,0.015,19.0,18.0
27.28,7.9,4.71,0.015,19.0,18.0
27.31,7.88,4.86,0.015,18.0,17.999
27.32,7.87,4.77,0.015,19.0,17.999
27.27,7.87,4.97,0.015,19.0,17.999
27.25,7.85,4.76,0.015,21.0,17.999
27.4,7.89,4.92,0.015,22.0,18.0
27.28,7.9,4.8,0.015,21.0,18.0
27.3,7.85,4.68,0.015,19.0,18.0
27.3,7.87,4.73,0.015,20.0,18.0
27.26,7.89,4.75,0.015,23.0,18.0
27.34,7.89,4.87,0.015,18.0,18.0
27.33,7.86,4.89,0.015,20.0,18.0
27.26,7.88,4.91,0.015,16.0,18.0
27.23,7.88,4.73,0.015,20.0,18.0
27.27,7.84,4.65,0.015,19.0,18.0
27.31,7.86,4.79,0.015,18.0,18.0
27.27,7.89,4.73,0.015,18.0,18.001
27.28,7.85,4.71,0.015,18.0,18.001
27.21,7.87,4.83,0.015,18.0,18.0
27.35,7.84,4.77,0.015,17.0,18.0
27.31,7.86,4.82,0.015,15.0,18.0
27.25,7.84,4.54,0.015,19.0,18.001
27.22,7.87,4.66,0.015,20.0,18.001
27.32,7.87,4.71,0.015,20.0,18.001
27.19,7.92,4.68,0.015,18.0,18.001
27.28,7.87,4.7,0.015,20.0,18.001
27.29,7.86,4.71,0.015,18.0,18.001
27.29,7.88,4.65,0.015,21.0,18.001
27.15,7.86,4.65,0.015,18.0,18.001
27.29,7.84,4.66,0.015,19.0,18.001
27.31,7.86,4.67,0.015,19.0,18.001
27.29,7.9,4.79,0.015,21.0,18.001
27.27,7.88,4.72,0.015,20.0,18.001
27.2,7.87,4.55,0.015,22.0,18.001
27.19,7.9,4.68,0.015,20.0,18.001
27.31,7.87,4.62,0.015,22.0,18.001
27.28,7.83,4.7,0.015,18.0,18.001
27.25,7.85,4.76,0.015,15.0,18.001
27.23,7.87,4.81,0.015,22.0,18.001
27.27,7.89,4.8,0.015,18.0,18.001
27.3,7.87,4.71,0.015,20.0,18.001
27.26,7.84,4.68,0.015,20.0,18.001
27.22,7.85,4.75,0.015,18.0,18.001
27.27,7.89,4.78,0.015,20.0,18.001
27.24,7.86,4.47,0.015,21.0,18.001
27.3,7.85,4.61,0.015,20.0,18.001
